평균기온(℃),최고기온(℃),최저기온(℃),평균습도(%rh),강수량(mm),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),오 존,이산화질소,일산화탄소,아황산가스
26.3,27.4,25.6,90.1,9.7,1.2,3.4,160.0,0.012,0.026,0.3,0.004
25.1,25.9,23.7,95.3,60.0,1.7,4.5,200.0,0.018,0.025,0.3,0.004
28.4,33.4,24.9,76.6,0.6,1.3,3.9,270.0,0.024,0.017,0.4,0.004
26.1,28.2,25.0,88.3,25.6,2.2,4.8,200.0,0.017,0.011,0.2,0.004
27.5,30.0,25.6,74.5,0.5,2.6,5.0,200.0,0.009,0.01,0.2,0.004
28.1,30.8,26.3,75.3,1.2,3.4,5.9,200.0,0.014,0.009,0.2,0.004
25.8,27.5,24.0,91.1,62.3,2.2,5.3,200.0,0.015,0.018,0.2,0.004
26.3,30.1,23.5,86.4,26.9,1.7,4.6,270.0,0.013,0.015,0.2,0.004
28.4,33.1,24.7,74.6,0.0,1.2,3.0,270.0,0.017,0.017,0.3,0.004
29.4,36.0,25.6,69.0,3.0,1.3,4.5,320.0,0.032,0.023,0.4,0.004
28.3,34.4,25.0,75.9,8.6,1.2,3.3,270.0,0.043,0.024,0.5,0.005
30.5,35.9,25.6,65.5,0.0,1.1,3.2,340.0,0.035,0.022,0.5,0.004
31.6,36.8,27.9,51.4,0.0,1.5,2.8,110.0,0.025,0.023,0.4,0.004
26.9,30.3,23.9,78.1,8.0,1.2,2.8,270.0,0.017,0.022,0.4,0.004
28.9,32.7,25.9,71.4,0.0,1.6,3.6,290.0,0.028,0.017,0.4,0.005
29.8,34.6,26.0,69.0,0.0,1.3,4.1,320.0,0.015,0.021,0.3,0.005
31.5,36.5,26.6,57.9,0.0,1.5,3.4,140.0,0.03,0.018,0.3,0.004
30.4,35.7,26.3,53.6,6.7,2.5,4.1,110.0,0.022,0.01,0.3,0.004
26.6,28.5,24.8,91.8,56.2,1.3,2.3,70.0,0.01,0.02,0.3,0.004
29.2,35.3,25.1,76.9,6.4,1.5,4.7,200.0,0.031,0.023,0.4,0.005
30.4,35.7,25.9,63.9,0.0,1.5,3.1,160.0,0.021,0.024,0.4,0.004
25.9,28.6,23.9,82.0,16.2,1.3,2.7,270.0,0.012,0.012,0.3,0.004
25.9,29.5,23.0,74.5,0.1,2.2,5.0,230.0,0.027,0.016,0.4,0.004
25.9,28.8,23.4,69.5,0.0,2.5,4.6,270.0,0.049,0.014,0.4,0.005
25.6,30.7,22.6,66.5,0.0,1.7,3.2,270.0,0.042,0.011,0.5,0.005
26.3,31.3,21.2,60.6,0.0,1.1,2.7,340.0,0.033,0.023,0.5,0.004
28.2,32.8,23.2,56.3,0.0,1.5,3.2,160.0,0.037,0.023,0.5,0.004
27.0,30.4,24.4,67.3,1.3,1.2,3.2,340.0,0.032,0.023,0.5,0.004
26.9,31.4,23.0,66.5,0.0,1.7,4.4,270.0,0.033,0.02,0.5,0.004
26.2,30.5,22.7,58.4,0.0,2.1,4.4,270.0,0.035,0.017,0.5,0.005
24.1,27.3,21.5,60.9,0.0,1.5,3.5,270.0,0.025,0.021,0.4,0.005
25.0,29.9,20.2,66.6,0.0,1.5,4.0,290.0,0.032,0.014,0.4,0.004
26.4,32.1,21.5,63.8,0.0,1.2,4.0,200.0,0.035,0.02,0.5,0.005
25.7,29.3,22.2,71.1,20.0,1.0,2.5,270.0,0.041,0.021,0.5,0.004
26.1,30.2,23.6,66.2,0.0,1.9,4.3,180.0,0.043,0.02,0.4,0.005
23.4,26.4,20.1,77.1,36.9,2.2,7.5,200.0,0.04,0.022,0.5,0.004
22.6,27.0,19.5,66.3,0.2,2.4,5.0,200.0,0.033,0.018,0.4,0.004
23.5,28.9,18.5,65.0,0.0,1.9,4.7,250.0,0.034,0.019,0.4,0.004
23.7,27.8,19.2,64.0,0.0,1.4,2.9,90.0,0.03,0.024,0.5,0.004
24.4,29.7,19.4,56.6,0.0,1.6,3.5,290.0,0.029,0.03,0.5,0.004
24.1,28.0,22.0,67.6,0.0,2.3,3.8,360.0,0.02,0.03,0.4,0.004
22.8,25.5,21.2,89.0,22.7,2.5,4.5,20.0,0.013,0.029,0.4,0.004
23.0,27.6,21.5,91.4,36.4,2.0,5.0,360.0,0.005,0.029,0.4,0.004
25.3,29.1,21.6,79.8,2.4,2.1,3.4,360.0,0.009,0.028,0.4,0.004
25.7,29.5,22.6,72.9,2.8,6.0,11.8,110.0,0.02,0.009,0.2,0.004
24.7,27.3,22.9,76.9,0.0,1.9,4.8,140.0,0.039,0.016,0.5,0.005
25.1,28.0,22.4,74.3,0.0,1.7,3.6,90.0,0.021,0.033,0.6,0.004
23.8,26.5,22.1,93.4,63.2,2.4,4.0,70.0,0.017,0.033,0.4,0.004
24.3,28.7,20.4,71.4,7.6,3.1,4.7,360.0,0.037,0.018,0.4,0.004
21.0,22.9,18.7,72.3,3.9,2.6,4.8,360.0,0.024,0.014,0.3,0.003
23.3,29.3,18.3,60.4,0.1,1.7,3.5,360.0,0.03,0.018,0.3,0.004
22.4,24.1,20.8,80.0,0.3,1.2,2.9,140.0,0.024,0.022,0.4,0.004
24.2,30.0,19.5,70.4,0.0,1.7,4.1,270.0,0.031,0.016,0.5,0.004
24.5,30.5,20.7,53.0,0.0,2.1,4.5,340.0,0.023,0.023,0.4,0.004
23.5,29.0,18.0,41.6,0.0,2.1,4.4,270.0,0.037,0.028,0.4,0.004
21.0,25.4,16.0,46.0,0.0,3.1,4.9,250.0,0.031,0.021,0.4,0.004
19.5,26.0,13.6,46.5,0.0,1.9,4.3,250.0,0.023,0.025,0.4,0.004
19.6,24.2,15.8,52.8,0.0,2.1,3.5,340.0,0.013,0.031,0.4,0.004
19.6,22.1,18.3,60.3,0.0,2.0,3.7,90.0,0.016,0.027,0.4,0.004
18.6,19.6,17.3,63.4,0.4,3.8,6.4,340.0,0.037,0.011,0.3,0.003
20.0,24.6,16.9,51.1,0.0,2.2,5.0,320.0,0.033,0.017,0.3,0.005
19.8,26.5,13.9,61.3,0.0,1.8,3.5,230.0,0.021,0.032,0.4,0.005
20.9,27.4,14.8,64.4,0.0,1.4,3.0,200.0,0.023,0.042,0.5,0.005
22.9,29.0,17.7,59.3,0.0,1.9,3.3,340.0,0.02,0.035,0.5,0.004
22.9,27.0,19.6,57.5,0.0,1.9,3.1,290.0,0.014,0.039,0.5,0.004
23.7,29.2,19.4,58.9,0.0,1.7,3.3,250.0,0.022,0.031,0.4,0.005
22.6,28.6,17.9,60.6,0.0,1.7,4.0,270.0,0.04,0.022,0.5,0.005
22.4,29.9,16.4,61.0,0.0,1.6,3.4,200.0,0.034,0.04,0.6,0.005
23.1,28.2,17.6,67.1,0.0,1.8,4.4,140.0,0.022,0.042,0.6,0.005
21.6,24.2,20.0,88.0,23.1,3.0,5.5,360.0,0.006,0.026,0.4,0.004
22.4,27.3,19.8,73.4,4.6,2.8,4.9,290.0,0.017,0.017,0.3,0.004
22.4,27.8,18.0,71.5,0.0,2.1,3.9,180.0,0.023,0.027,0.5,0.005
18.7,21.9,14.7,72.6,0.6,2.9,4.6,360.0,0.024,0.014,0.4,0.004
18.1,22.7,13.2,53.4,0.0,2.9,4.8,360.0,0.03,0.013,0.3,0.004
14.8,17.9,13.3,92.0,25.4,1.8,3.6,20.0,0.01,0.027,0.4,0.003
14.7,19.8,10.6,58.8,0.0,2.6,6.2,250.0,0.019,0.025,0.4,0.004
13.6,20.4,7.7,48.3,0.0,1.7,3.8,200.0,0.018,0.032,0.4,0.005
15.2,19.8,10.7,60.9,0.0,1.3,2.8,270.0,0.01,0.044,0.6,0.004
18.8,26.1,13.0,60.0,0.0,1.9,4.9,360.0,0.025,0.031,0.5,0.004
17.9,23.3,13.3,49.3,0.0,3.5,6.7,360.0,0.032,0.016,0.3,0.003
17.2,23.8,12.1,52.6,0.0,1.9,4.1,360.0,0.026,0.021,0.4,0.004
14.4,19.6,9.5,56.9,0.0,2.5,5.1,270.0,0.021,0.024,0.4,0.004
14.5,20.4,8.8,55.6,0.0,1.6,4.3,360.0,0.017,0.029,0.4,0.004
14.6,20.8,9.0,58.3,0.0,1.6,3.6,200.0,0.02,0.035,0.5,0.004
15.4,21.6,11.2,56.0,0.0,1.7,3.5,70.0,0.018,0.033,0.5,0.004
17.0,22.7,12.0,58.3,0.0,2.4,4.3,20.0,0.032,0.024,0.4,0.006
17.0,23.1,12.1,63.8,0.0,1.8,3.7,230.0,0.034,0.027,0.4,0.007
16.5,22.9,12.0,70.3,0.0,1.3,3.0,140.0,0.031,0.034,0.6,0.007
17.1,24.6,10.9,61.0,0.0,1.0,2.4,320.0,0.024,0.049,0.7,0.007
18.1,24.4,13.3,56.1,0.0,1.6,3.3,70.0,0.024,0.047,0.6,0.008
17.0,20.7,14.3,57.3,0.0,2.4,4.4,70.0,0.025,0.035,0.5,0.009
18.3,23.8,15.3,47.6,0.0,2.7,5.1,70.0,0.033,0.031,0.5,0.008
16.7,22.0,13.1,58.0,0.0,2.4,5.6,270.0,0.034,0.025,0.4,0.006
10.0,14.9,6.6,60.0,0.0,2.5,5.2,320.0,0.031,0.016,0.4,0.005
11.0,17.4,4.7,59.0,0.0,1.6,4.2,290.0,0.028,0.029,0.5,0.006
12.9,17.7,7.4,65.9,1.7,2.5,4.7,230.0,0.03,0.034,0.6,0.007
12.5,17.6,8.2,61.0,0.1,2.3,5.2,290.0,0.029,0.024,0.4,0.006
11.2,17.7,5.0,60.3,0.0,1.6,3.8,270.0,0.02,0.039,0.5,0.006
14.8,19.7,8.4,73.8,0.0,2.3,5.2,230.0,0.034,0.039,0.5,0.008
14.9,20.5,11.4,57.9,0.0,1.8,3.9,320.0,0.028,0.045,0.7,0.007
13.6,18.7,8.3,57.3,0.0,1.5,2.9,290.0,0.016,0.06,0.9,0.008
14.7,22.1,9.4,57.8,0.0,2.1,4.7,70.0,0.028,0.032,0.6,0.007
13.8,20.3,9.2,57.8,0.0,2.1,3.7,320.0,0.024,0.031,0.4,0.007
12.4,18.4,8.4,65.1,0.0,1.6,3.8,320.0,0.02,0.047,0.7,0.007
11.0,16.5,6.3,63.6,0.0,1.8,4.4,320.0,0.021,0.046,0.7,0.007
9.2,13.6,5.0,42.8,0.0,2.7,5.3,340.0,0.037,0.027,0.5,0.006
6.8,13.0,1.1,31.4,0.0,1.9,4.4,320.0,0.022,0.037,0.5,0.006
9.5,17.2,3.5,41.4,0.0,1.6,4.2,320.0,0.016,0.049,0.7,0.007
10.0,15.3,6.2,59.6,11.8,2.1,3.8,180.0,0.017,0.044,0.7,0.007
11.2,15.1,7.9,71.6,1.1,2.4,4.8,270.0,0.034,0.027,0.6,0.006
9.3,14.5,4.8,63.6,0.0,1.4,2.7,340.0,0.004,0.055,0.9,0.006
1.3,5.0,-2.5,30.6,0.0,2.9,5.8,290.0,0.019,0.022,0.3,0.004
5.6,7.6,1.4,87.4,18.8,2.0,3.5,20.0,0.004,0.045,0.6,0.004
6.8,12.7,3.8,81.3,0.0,1.6,3.0,70.0,0.004,0.05,0.9,0.005
8.3,10.5,5.6,79.4,21.1,3.1,6.4,70.0,0.006,0.042,0.6,0.004
4.6,12.7,0.4,59.8,14.7,3.9,7.0,270.0,0.024,0.017,0.4,0.004
0.2,4.0,-3.5,48.0,0.0,2.8,5.8,320.0,0.018,0.021,0.4,0.004
0.5,6.3,-4.6,35.5,0.0,1.8,4.6,290.0,0.012,0.033,0.5,0.005
4.2,9.0,-2.3,37.4,0.0,1.9,4.2,70.0,0.003,0.048,0.7,0.005
9.7,17.3,3.0,34.1,0.0,2.1,4.8,70.0,0.004,0.06,1.0,0.005
12.1,17.7,7.7,52.0,0.0,1.8,3.6,70.0,0.004,0.062,1.1,0.006
9.8,15.6,4.6,74.6,3.8,2.2,6.0,320.0,0.01,0.039,0.8,0.006
1.9,6.0,-1.2,62.1,0.0,2.7,5.9,320.0,0.011,0.025,0.5,0.004
6.6,13.7,1.2,64.0,0.0,2.0,4.5,320.0,0.005,0.041,0.7,0.005
3.1,6.8,0.3,50.8,0.0,2.7,4.6,290.0,0.014,0.027,0.6,0.005
3.5,10.4,-0.6,52.4,0.0,2.0,4.3,340.0,0.012,0.029,0.5,0.005
1.5,6.9,-3.4,42.8,0.0,2.0,4.0,290.0,0.011,0.038,0.6,0.005
4.1,9.3,-1.4,42.6,0.0,1.7,3.4,90.0,0.004,0.053,0.8,0.006
4.6,6.2,2.3,79.4,3.3,1.6,4.1,320.0,0.008,0.042,0.7,0.005
-0.1,2.8,-3.2,48.0,0.0,3.1,6.2,320.0,0.019,0.022,0.4,0.004
0.5,4.2,-5.0,61.3,0.6,1.6,3.6,200.0,0.005,0.041,0.5,0.005
2.0,7.2,-2.0,41.6,0.0,1.8,4.4,340.0,0.011,0.036,0.5,0.005
-4.4,-0.2,-8.5,31.9,0.0,3.2,6.0,320.0,0.019,0.017,0.4,0.004
-5.9,-1.0,-10.6,34.5,0.0,1.7,3.8,340.0,0.011,0.03,0.5,0.005
-2.4,1.2,-5.5,65.0,0.1,1.7,3.1,50.0,0.002,0.055,0.9,0.005
-0.9,4.9,-5.5,65.1,0.0,1.4,3.2,70.0,0.007,0.046,0.8,0.004
3.2,8.0,-1.3,56.8,0.0,2.5,3.9,70.0,0.004,0.051,0.8,0.005
8.1,10.8,6.0,82.3,1.7,1.2,3.5,290.0,0.013,0.052,0.9,0.005
6.3,9.8,0.1,62.0,0.2,3.4,7.2,270.0,0.024,0.028,0.6,0.005
-0.7,3.4,-3.5,45.4,0.0,1.8,4.2,290.0,0.014,0.024,0.4,0.004
2.1,5.9,-3.7,53.6,1.0,2.0,4.3,200.0,0.004,0.046,0.6,0.005
2.7,6.4,-0.1,58.3,0.0,2.3,5.3,290.0,0.012,0.028,0.6,0.004
5.3,11.0,0.4,52.5,0.0,2.0,3.6,70.0,0.005,0.048,0.8,0.004
7.8,12.9,2.1,58.9,0.0,1.9,3.2,70.0,0.002,0.058,1.1,0.006
7.7,10.2,3.2,81.4,9.8,2.3,4.5,320.0,0.009,0.035,0.6,0.005
0.8,5.2,-1.7,64.6,0.0,2.5,4.2,290.0,0.015,0.024,0.5,0.005
-0.8,3.1,-4.5,47.8,0.0,2.4,4.8,320.0,0.014,0.027,0.5,0.004
-1.1,2.0,-3.5,45.3,0.0,2.3,3.9,320.0,0.012,0.03,0.6,0.005
-1.2,1.5,-5.1,68.1,0.6,1.7,2.9,70.0,0.003,0.046,0.8,0.005
4.1,8.4,0.3,63.4,0.3,1.7,3.5,70.0,0.006,0.045,0.8,0.005
3.4,5.2,0.3,80.4,2.9,2.0,4.2,290.0,0.012,0.035,0.8,0.005
0.8,6.5,-2.9,67.9,0.0,1.4,3.1,70.0,0.009,0.042,0.9,0.005
2.0,6.6,-2.7,60.8,0.0,1.0,3.2,270.0,0.003,0.054,1.0,0.005
2.0,4.1,-2.4,59.0,0.3,2.4,5.2,290.0,0.012,0.033,0.6,0.005
-1.7,2.6,-4.6,45.4,0.0,2.1,4.3,290.0,0.014,0.033,0.6,0.005
1.1,6.1,-3.6,47.6,0.0,2.0,3.7,70.0,0.005,0.048,0.7,0.005
-2.2,0.3,-6.5,64.4,0.1,0.6,2.6,50.0,0.003,0.042,0.7,0.004
1.0,3.8,-0.7,65.4,0.0,1.2,4.0,290.0,0.002,0.045,0.8,0.005
-0.1,4.6,-3.4,56.9,0.0,1.7,3.5,270.0,0.007,0.045,0.9,0.006
1.2,6.1,-2.8,50.8,0.0,1.9,4.5,320.0,0.011,0.053,1.0,0.006
1.3,6.6,-3.2,45.6,0.0,1.1,2.9,70.0,0.008,0.048,0.9,0.006
3.1,4.6,0.6,65.4,1.8,3.1,5.4,70.0,0.004,0.048,0.8,0.005
6.3,7.7,4.2,95.0,46.3,4.0,6.3,70.0,0.007,0.035,0.6,0.004
2.4,8.9,-0.4,86.1,11.6,3.3,6.3,270.0,0.017,0.024,0.6,0.004
-1.2,2.0,-3.1,65.3,0.0,2.3,4.3,320.0,0.018,0.027,0.6,0.004
-0.6,4.2,-4.3,62.9,0.0,1.5,3.7,320.0,0.008,0.046,0.8,0.005
-0.1,3.9,-2.6,60.9,0.0,1.9,4.8,340.0,0.015,0.043,1.0,0.005
-1.0,2.8,-3.5,61.5,0.0,2.4,4.1,290.0,0.022,0.021,0.6,0.005
-2.9,0.2,-4.7,51.0,0.0,2.3,4.9,320.0,0.016,0.026,0.5,0.004
-2.3,2.6,-5.7,45.3,0.0,1.6,3.3,320.0,0.01,0.04,0.6,0.005
-2.7,2.2,-6.4,44.8,0.0,1.9,4.5,320.0,0.011,0.035,0.7,0.006
-1.7,3.2,-5.5,43.0,0.0,1.6,4.4,340.0,0.011,0.038,0.7,0.005
-0.6,4.9,-4.8,43.9,0.0,1.5,3.8,320.0,0.007,0.05,0.9,0.006
0.3,5.9,-4.1,48.1,0.0,1.8,4.2,270.0,0.012,0.043,0.9,0.006
1.9,5.3,-0.4,62.8,0.6,2.2,6.1,320.0,0.015,0.037,0.8,0.005
0.7,5.5,-3.3,46.8,0.0,2.5,5.7,270.0,0.02,0.03,0.6,0.005
-0.4,5.5,-5.6,36.9,0.0,1.4,3.5,320.0,0.009,0.046,0.7,0.006
3.0,7.8,-0.1,36.0,0.0,1.7,3.2,90.0,0.004,0.055,0.8,0.005
4.6,9.9,0.0,49.3,0.0,2.0,4.7,320.0,0.019,0.041,0.8,0.005
2.8,7.4,-1.3,63.0,0.0,1.7,3.7,320.0,0.018,0.032,0.8,0.004
4.3,8.8,0.6,63.1,0.0,1.5,3.9,320.0,0.009,0.04,0.9,0.005
5.5,11.9,-0.2,56.3,0.0,2.7,6.1,70.0,0.019,0.028,0.6,0.004
5.9,7.5,4.8,48.1,0.1,4.6,7.0,70.0,0.031,0.015,0.3,0.004
6.8,9.9,4.3,49.4,0.0,2.6,5.4,70.0,0.021,0.025,0.4,0.004
6.0,9.6,3.2,46.4,0.0,2.1,3.6,70.0,0.012,0.037,0.6,0.004
5.2,10.4,1.4,47.0,0.0,1.8,3.0,320.0,0.018,0.034,0.5,0.004
3.9,8.9,1.4,59.6,0.0,2.3,4.4,270.0,0.016,0.037,0.6,0.004
2.6,7.6,-1.2,66.6,0.0,1.7,4.7,270.0,0.02,0.038,0.8,0.005
1.5,5.3,-2.1,52.3,0.0,1.8,4.7,320.0,0.024,0.032,0.8,0.005
-0.4,3.0,-2.9,43.6,0.0,3.1,5.7,270.0,0.024,0.02,0.4,0.004
-1.6,3.9,-6.0,50.3,1.7,2.8,6.2,340.0,0.019,0.027,0.5,0.004
-8.3,-4.9,-11.0,37.3,0.0,3.3,5.5,320.0,0.023,0.014,0.4,0.004
-6.4,0.4,-11.8,36.4,0.0,1.9,4.0,290.0,0.012,0.032,0.6,0.004
-1.7,2.2,-7.2,45.1,0.0,2.0,3.5,320.0,0.012,0.035,0.6,0.004
-0.1,3.7,-2.3,48.1,0.0,3.0,5.3,340.0,0.024,0.02,0.5,0.004
-0.5,4.1,-5.6,51.1,0.0,2.0,4.4,270.0,0.021,0.027,0.5,0.005
4.0,9.6,-0.7,49.4,0.0,1.7,4.2,320.0,0.015,0.045,0.7,0.005
6.8,14.6,-0.5,37.0,0.0,1.6,3.6,70.0,0.01,0.06,0.9,0.006
7.4,8.2,6.5,73.4,6.7,2.2,5.0,70.0,0.006,0.057,0.9,0.005
6.5,8.7,4.9,84.8,0.0,1.7,3.2,200.0,0.017,0.036,0.7,0.004
8.1,14.7,3.2,70.3,0.0,1.2,3.0,200.0,0.01,0.057,0.9,0.005
9.8,15.6,6.2,63.0,2.0,2.7,5.0,70.0,0.02,0.044,0.8,0.005
-1.4,7.7,-4.3,81.1,13.4,4.0,6.6,270.0,0.023,0.015,0.6,0.004
-5.9,-3.9,-7.1,64.3,1.0,3.4,5.6,320.0,0.024,0.016,0.4,0.004
-4.1,1.3,-8.3,44.0,0.0,2.3,4.1,290.0,0.019,0.028,0.5,0.004
1.0,6.4,-4.4,56.8,0.0,1.5,3.2,270.0,0.006,0.055,0.7,0.005
4.6,10.8,-0.6,62.6,0.0,1.7,3.3,290.0,0.008,0.06,0.9,0.005
6.7,10.9,2.1,66.3,4.2,2.2,5.3,250.0,0.017,0.051,0.7,0.005
4.0,7.9,0.0,62.0,3.1,4.0,8.2,320.0,0.031,0.02,0.6,0.005
2.5,8.0,-2.5,48.6,0.0,2.0,4.2,270.0,0.027,0.025,0.4,0.004
7.0,12.2,0.8,51.8,0.0,1.6,3.4,230.0,0.018,0.044,0.6,0.005
6.7,9.4,4.7,73.5,16.6,4.2,6.8,70.0,0.02,0.036,0.5,0.004
6.4,10.4,2.8,59.6,0.0,2.1,4.0,340.0,0.02,0.029,0.5,0.004
6.1,12.5,1.3,54.0,0.0,2.0,4.4,250.0,0.018,0.031,0.5,0.004
4.5,5.9,3.6,79.4,3.9,1.4,4.2,230.0,0.006,0.046,0.6,0.004
7.7,13.0,4.5,68.6,0.5,1.7,4.2,270.0,0.019,0.034,0.6,0.004
5.8,10.1,3.2,71.8,0.2,2.0,4.7,270.0,0.018,0.032,0.7,0.005
3.4,7.6,0.0,55.3,0.0,2.7,4.9,290.0,0.029,0.023,0.5,0.004
4.8,10.5,0.3,57.0,0.0,2.6,4.7,320.0,0.021,0.038,0.6,0.005
2.2,4.6,-1.3,53.4,0.0,3.7,6.8,270.0,0.033,0.019,0.5,0.004
1.4,6.3,-2.8,47.5,0.0,2.5,4.1,270.0,0.026,0.023,0.5,0.004
3.7,10.1,-2.5,46.8,0.0,1.6,3.6,200.0,0.012,0.045,0.6,0.004
7.0,14.2,1.3,39.5,0.0,2.0,4.1,270.0,0.013,0.058,0.7,0.005
9.3,16.9,2.3,43.8,0.0,1.6,4.6,270.0,0.025,0.059,0.8,0.006
11.1,17.6,4.8,37.6,0.0,1.8,4.5,320.0,0.027,0.058,0.8,0.005
6.4,10.8,3.2,78.4,11.8,2.8,5.3,290.0,0.025,0.028,0.6,0.004
3.8,8.3,0.0,41.8,0.0,3.3,5.5,320.0,0.028,0.022,0.4,0.004
6.8,13.3,0.2,49.8,0.0,2.5,5.4,230.0,0.026,0.032,0.5,0.005
4.9,8.7,-0.1,41.0,0.5,3.3,5.4,340.0,0.033,0.017,0.4,0.004
3.6,8.6,-2.7,48.1,0.0,3.0,6.8,230.0,0.031,0.022,0.5,0.005
4.0,8.5,0.2,48.3,0.0,3.6,7.8,320.0,0.032,0.017,0.5,0.004
3.6,9.1,-2.1,42.4,0.0,2.8,5.2,250.0,0.023,0.022,0.5,0.004
6.6,12.3,3.1,65.8,0.0,2.1,5.2,230.0,0.023,0.03,0.5,0.004
10.0,17.0,2.7,45.8,0.0,1.8,4.4,230.0,0.027,0.034,0.6,0.005
9.1,12.1,5.8,49.0,0.0,4.8,8.2,250.0,0.037,0.015,0.4,0.004
8.8,14.0,3.1,39.6,0.0,3.1,6.6,270.0,0.024,0.023,0.4,0.004
12.8,19.5,7.9,56.5,0.0,2.0,5.1,290.0,0.032,0.023,0.5,0.005
11.0,16.5,6.1,37.5,0.0,3.0,5.6,320.0,0.033,0.013,0.4,0.004
10.6,17.0,5.4,37.9,0.0,1.9,4.8,270.0,0.027,0.033,0.5,0.005
11.4,17.9,5.3,35.0,0.0,1.8,4.0,200.0,0.026,0.036,0.6,0.005
12.5,19.2,6.1,33.6,0.0,1.9,5.3,320.0,0.026,0.041,0.6,0.005
14.8,20.6,8.1,53.8,1.8,1.9,5.3,160.0,0.022,0.044,0.6,0.004
11.9,15.8,6.7,56.4,2.0,3.3,5.8,320.0,0.026,0.016,0.5,0.004
7.7,12.8,4.5,17.9,0.0,3.2,5.5,340.0,0.031,0.013,0.3,0.004
11.3,17.4,6.0,35.6,0.0,3.7,7.3,270.0,0.034,0.019,0.5,0.005
9.3,15.5,3.4,41.4,0.0,2.3,5.5,270.0,0.024,0.03,0.5,0.004
10.0,16.3,5.3,53.8,0.0,2.7,5.7,270.0,0.027,0.028,0.5,0.004
8.9,13.3,5.0,36.4,0.0,3.4,6.3,290.0,0.032,0.015,0.4,0.004
7.2,13.7,1.9,29.5,0.0,2.8,5.4,230.0,0.033,0.016,0.4,0.004
9.3,16.1,2.9,38.3,0.0,2.4,5.9,270.0,0.024,0.032,0.5,0.004
10.6,16.8,6.0,56.6,0.0,2.5,5.1,270.0,0.026,0.027,0.5,0.005
9.4,14.2,5.2,25.5,0.0,3.5,5.9,340.0,0.038,0.018,0.4,0.004
8.9,14.7,4.3,44.6,0.0,2.8,5.7,250.0,0.037,0.02,0.4,0.004
10.7,16.8,5.8,52.6,0.0,2.4,4.1,290.0,0.033,0.028,0.5,0.004
9.9,16.0,6.2,63.8,0.0,2.5,4.9,270.0,0.035,0.021,0.4,0.004
9.9,15.6,4.4,58.6,0.0,3.8,7.4,90.0,0.037,0.016,0.4,0.004
12.4,20.4,4.3,39.4,0.0,3.1,5.5,50.0,0.036,0.021,0.4,0.003
13.0,19.6,7.6,46.8,0.0,2.4,5.3,270.0,0.04,0.031,0.5,0.005
13.2,20.2,7.2,39.8,0.0,2.2,5.6,290.0,0.051,0.03,0.5,0.005
16.0,23.8,8.9,39.9,0.0,2.3,4.5,320.0,0.041,0.034,0.5,0.004
12.5,15.4,10.4,77.8,6.5,2.4,4.8,140.0,0.031,0.027,0.4,0.004
13.5,19.6,8.5,67.9,0.0,2.6,4.8,270.0,0.034,0.016,0.4,0.004
12.3,15.5,9.5,75.8,10.3,2.7,5.2,90.0,0.025,0.024,0.5,0.004
10.0,13.1,7.6,73.0,0.1,3.3,6.8,270.0,0.036,0.017,0.4,0.004
7.4,10.4,4.8,49.0,0.0,4.4,8.9,290.0,0.037,0.014,0.3,0.004
6.0,8.3,4.1,46.8,0.0,4.0,6.4,290.0,0.032,0.012,0.3,0.003
7.9,12.8,2.9,47.8,0.0,3.7,7.9,250.0,0.033,0.014,0.3,0.004
9.9,14.3,4.1,55.6,0.0,3.9,8.2,270.0,0.038,0.02,0.4,0.005
13.1,17.1,9.9,54.4,0.0,3.9,7.8,250.0,0.049,0.015,0.4,0.004
12.3,19.0,6.8,43.1,0.0,3.2,6.5,290.0,0.039,0.013,0.4,0.004
12.9,18.3,8.7,49.8,0.0,2.8,5.5,290.0,0.034,0.023,0.4,0.004
13.9,19.9,7.8,50.0,0.0,3.0,5.5,230.0,0.038,0.024,0.4,0.004
14.9,21.0,9.3,48.6,0.0,2.6,5.2,320.0,0.044,0.023,0.4,0.004
17.1,23.4,9.3,57.1,0.0,2.7,5.9,290.0,0.037,0.022,0.4,0.004
20.2,26.2,16.4,73.6,0.0,2.7,5.5,290.0,0.03,0.009,0.4,0.003
20.3,23.9,18.0,79.6,0.0,2.3,4.6,230.0,0.02,0.011,0.4,0.004
21.8,27.4,17.0,68.8,0.0,2.0,3.9,160.0,0.024,0.016,0.4,0.004
20.2,25.3,14.8,63.9,0.0,2.7,4.6,270.0,0.029,0.018,0.4,0.004
16.0,19.3,13.1,67.9,0.0,1.9,5.3,250.0,0.022,0.027,0.5,0.005
19.4,27.6,11.1,50.0,0.0,2.1,4.4,320.0,0.031,0.027,0.5,0.004
20.7,26.5,14.9,32.5,0.0,2.5,4.3,90.0,0.041,0.021,0.3,0.004
19.9,27.3,14.3,32.8,2.3,2.4,4.5,290.0,0.039,0.026,0.4,0.004
14.2,16.8,12.7,94.4,24.4,3.6,5.9,90.0,0.03,0.016,0.4,0.003
14.4,16.6,12.8,88.6,1.3,2.5,4.1,250.0,0.04,0.012,0.5,0.003
16.5,22.0,12.4,61.0,3.4,3.0,5.6,290.0,0.04,0.017,0.5,0.004
14.3,18.9,10.5,69.4,0.7,2.9,5.4,320.0,0.035,0.016,0.4,0.004
16.1,21.8,10.2,47.3,0.0,2.8,6.5,290.0,0.032,0.02,0.4,0.004
